time,com_x,com_y,r_com_x,r_com_y,cp_1_x,cp_1_y,cp_2_x,cp_2_y,cp_3_x,cp_3_y,cp_4_x,cp_4_y,r_cp_1_x,r_cp_1_y,r_cp_2_x,r_cp_2_y,r_cp_3_x,r_cp_3_y,r_cp_4_x,r_cp_4_y,st_icm_2,st_sp_2,st_raw_2,st_org_2,r_st_2,st_2,tan_sp_2,tan_icm_2,v_icm_2,v_sp_2,v_2,d_2
      0.0025,    0.0782652,   -0.0069363,    0.0782652,   -0.0069363,     0.477479,     0.222793,     0.477511,    -0.220554,    -0.631783,     0.222808,    -0.631891,    -0.220386,     0.477479,     0.222793,     0.477511,    -0.220554,    -0.631783,     0.222808,    -0.631891,    -0.220386,            0, -5.56163e-15,            0,            0,   -0.0679539,   -0.0656941,  3.70074e-15,            0,            0,  4.10865e-29,  4.10865e-32,            0
     0.00675,    0.0782619,  -0.00693583,    0.0782652,   -0.0069363,      0.47747,     0.222791,     0.477518,    -0.220555,    -0.631777,       0.2228,    -0.631897,    -0.220394,     0.477479,     0.222793,     0.477511,    -0.220554,    -0.631783,     0.222808,    -0.631891,    -0.220386,            0, -0.000110675,            0,            0,   -0.0679565,   -0.0656817,  0.000441868,            0,            0, -5.85743e-07,  5.85743e-10,            0
       0.012,    0.0782559,  -0.00693699,    0.0782652,   -0.0069363,      0.47748,     0.222779,     0.477528,    -0.220568,    -0.631767,     0.222788,    -0.631886,    -0.220407,     0.477479,     0.222793,     0.477511,    -0.220554,    -0.631783,     0.222808,    -0.631891,    -0.220386,            0,  -0.00113238,            0,            0,    -0.067959,   -0.0656842,   0.00145771,            0,            0, -6.95962e-06,  6.95962e-09,            0
     0.01625,    0.0782255,  -0.00694281,    0.0782652,   -0.0069363,     0.477478,     0.222768,     0.477535,     -0.22056,    -0.631768,     0.222784,    -0.631903,    -0.220389,     0.477479,     0.222793,     0.477511,    -0.220554,    -0.631783,     0.222808,    -0.631891,    -0.220386,            0,  -0.00153165,            0,            0,   -0.0679521,   -0.0658676,   0.00165618,            0,            0, -1.51769e-05,  1.51769e-08,            0
     0.02125,    0.0782274,  -0.00693351,    0.0782652,   -0.0069363,      0.47745,     0.222761,     0.477507,    -0.220567,    -0.631796,     0.222777,    -0.631931,    -0.220396,     0.477479,     0.222793,     0.477511,    -0.220554,    -0.631783,     0.222808,    -0.631891,    -0.220386,            0, -0.000363926,            0,            0,   -0.0679385,    -0.065854,  0.000913125,            0,            0, -1.26617e-05,  1.26617e-08,            0
     0.02675,    0.0782574,  -0.00694316,    0.0782652,   -0.0069363,     0.477592,     0.222748,     0.477636,    -0.220592,    -0.631825,     0.222814,    -0.631983,    -0.220373,     0.477479,     0.222793,     0.477511,    -0.220554,    -0.631783,     0.222808,    -0.631891,    -0.220386,            0,  -0.00298243,            0,            0,   -0.0679059,    -0.066399,   0.00872566,            0,            0, -0.000240968,  2.40968e-07,            0
     0.0325,   0.0783226, -0.00694783,   0.0782652,  -0.0069363,     0.47775,    0.222729,    0.477779,   -0.220605,   -0.631858,    0.222837,    -0.63202,   -0.220345,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0, -0.00640953,           0,           0,  -0.0678851,  -0.0666066,   0.0181786,           0,           0, -0.00122809, 1.22809e-06,           0
      0.038,   0.0783073, -0.00692902,   0.0782652,  -0.0069363,    0.477627,    0.222723,    0.477656,   -0.220612,    -0.63198,    0.222831,   -0.632143,   -0.220351,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   -0.010322,           0,           0,  -0.0678489,  -0.0665705,   0.0104047,           0,           0, -0.00154009, 1.54009e-06,           0
     0.0435,   0.0783129, -0.00692578,   0.0782652,  -0.0069363,    0.477931,    0.222705,    0.477943,   -0.220629,   -0.632007,    0.222862,   -0.632183,   -0.220312,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0150783,           0,           0,  -0.0678326,  -0.0667568,   0.0291819,           0,           0, -0.00405063, 4.05063e-06,           0
    0.04925,   0.0782832, -0.00693565,   0.0782652,  -0.0069363,    0.478264,    0.222682,    0.478252,   -0.220653,   -0.632088,      0.2229,   -0.632259,   -0.220284,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  -0.0209918,           0,           0,  -0.0677906,  -0.0670495,   0.0498195,           0,           0,  -0.0113009, 1.13009e-05,           0
